presbytery,for,against,item
Northern Illinois,29.0,0.0,Item 4
Northern New England,,,Item 4
Northwest Georgia,42.0,0.0,Item 4
Ohio,18.0,0.0,Item 4
Ohio Valley,42.0,1.0,Item 4
Pacific,1.0,0.0,Item 4
Pacific Northwest,52.0,3.0,Item 4
Palmetto,69.0,1.0,Item 4
Pee Dee,39.0,0.0,Item 4
Philadelphia,,,Item 4
Philadelphia Metro West,,,Item 4
Piedmont Triad,22.0,15.0,Item 4
Pittsburgh,53.0,0.0,Item 4
Platte Valley,22.0,0.0,Item 4
Potomac,,,Item 4
Providence,51.0,0.0,Item 4
Rio Grande,1.0,0.0,Item 4
Rocky Mountain,75.0,0.0,Item 4
Savannah River,37.0,1.0,Item 4
Siouxlands,29.0,1.0,Item 4
South Coast,1.0,0.0,Item 4
South Florida,,,Item 4
South Texas,51.0,0.0,Item 4
Southeast Alabama,42.0,0.0,Item 4
Southern Louisiana,21.0,0.0,Item 4
Southern New England,58.0,4.0,Item 4
Southwest Florida,61.0,0.0,Item 4
Suncoast Florida,,,Item 4
Susquehanna Valley,52.0,3.0,Item 4
Tennessee Valley,67.0,22.0,Item 4
Tidewater,42.0,1.0,Item 4
Warrior,29.0,1.0,Item 4
West Hudson,24.0,1.0,Item 4
Westminster,29.0,0.0,Item 4
Wisconsin,18.0,8.0,Item 4
Arizona,31.0,0.0,Item 5
Ascension,33.0,1.0,Item 5
Blue Ridge,1.0,0.0,Item 5
Calvary,93.0,0.0,Item 5
Canada West,24.0,0.0,Item 5
Catawba Valley,38.0,0.0,Item 5
Central Carolina,52.0,0.0,Item 5
Central Florida,1.0,0.0,Item 5
Central Georgia,38.0,0.0,Item 5
Central Indiana,,,Item 5
Chesapeake,71.0,0.0,Item 5
Chicago Metro,21.0,20.0,Item 5
Columbus Metro,,,Item 5
Covenant,76.0,3.0,Item 5
Eastern Canada,26.0,5.0,Item 5
Eastern Carolina,43.0,4.0,Item 5
Eastern Pennsylvania,27.0,0.0,Item 5
Evangel,,,Item 5
Fellowship,38.0,0.0,Item 5
Georgia Foothills,1.0,0.0,Item 5
Grace,43.0,0.0,Item 5
Great Lakes,46.0,1.0,Item 5
Gulf Coast,37.0,1.0,Item 5
Gulfstream,35.0,0.0,Item 5
Heartland,25.0,0.0,Item 5
Heritage,35.0,4.0,Item 5
Highlands,51.0,6.0,Item 5
Hills and Plains,34.0,3.0,Item 5
Houston Metro,50.0,0.0,Item 5
Illiana,16.0,0.0,Item 5
Iowa,,,Item 5
James River,80.0,0.0,Item 5
Korean Capital,,,Item 5
Korean Central,,,Item 5
Korean Eastern,,,Item 5
Korean Northeastern,,,Item 5
Korean Northwest,,,Item 5
Korean Southeastern,32.0,0.0,Item 5
Korean Southern,,,Item 5
Korean Southwest,,,Item 5
Korean Southwest OC,,,Item 5
Lowcountry Presbytery,34.0,0.0,Item 5
Metro Atlanta,0.0,1.0,Item 5
Metropolitan New York,2.0,26.0,Item 5
Mississippi Valley,85.0,0.0,Item 5
Missouri,,,Item 5
Nashville,70.0,3.0,Item 5
New Jersey,21.0,0.0,Item 5
New River,1.0,0.0,Item 5
New York State,24.0,3.0,Item 5
North Florida,,,Item 5
North Texas,,,Item 5
Northern California,20.0,5.0,Item 5
Northern Illinois,21.0,6.0,Item 5
Northern New England,,,Item 5
Northwest Georgia,42.0,0.0,Item 5
Ohio,18.0,0.0,Item 5
Ohio Valley,37.0,0.0,Item 5
Pacific,0.0,1.0,Item 5
Pacific Northwest,37.0,14.0,Item 5
Palmetto,67.0,4.0,Item 5
Pee Dee,38.0,0.0,Item 5
Philadelphia,,,Item 5
Philadelphia Metro West,,,Item 5
Piedmont Triad,34.0,7.0,Item 5
Pittsburgh,49.0,1.0,Item 5
Platte Valley,9.0,12.0,Item 5
Potomac,,,Item 5
Providence,52.0,3.0,Item 5
Rio Grande,1.0,0.0,Item 5
Rocky Mountain,75.0,0.0,Item 5
Savannah River,27.0,10.0,Item 5
Siouxlands,32.0,0.0,Item 5
South Coast,43.0,10.0,Item 5
South Florida,,,Item 5
South Texas,52.0,0.0,Item 5
Southeast Alabama,42.0,0.0,Item 5
Southern Louisiana,14.0,5.0,Item 5
Southern New England,35.0,28.0,Item 5
Southwest Florida,59.0,2.0,Item 5
Suncoast Florida,,,Item 5
